# step walker beta fx x1 x2 x3
0 0 0.01 755967.5466082494 7.859232185634296 0.02128777329243501 8.220702574012513
1 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
2 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
3 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
4 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
5 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
6 0 0.01 579993.0952896303 7.890848186469918 0.01439178328194962 8.265758016151786
7 0 0.01 512559.2061751028 7.833139456165841 0.015012389660316658 8.296019372343038
8 0 0.01 449151.13290109916 7.885516662980883 0.015017091049193323 8.430400351704451
9 0 0.01 449151.13290109916 7.885516662980883 0.015017091049193323 8.430400351704451
10 0 0.01 421885.8837172475 7.699440584125809 0.015658673823503548 8.299044927115869
11 0 0.01 396052.60563061567 7.749273290168027 0.012578977663922632 8.316452112089907
12 0 0.01 396052.60563061567 7.749273290168027 0.012578977663922632 8.316452112089907
13 0 0.01 396052.60563061567 7.749273290168027 0.012578977663922632 8.316452112089907
14 0 0.01 396052.60563061567 7.749273290168027 0.012578977663922632 8.316452112089907
15 0 0.01 376949.3349085263 7.790300347428962 0.012897743273508488 8.400204401196177
16 0 0.01 376949.3349085263 7.790300347428962 0.012897743273508488 8.400204401196177
17 0 0.01 376949.3349085263 7.790300347428962 0.012897743273508488 8.400204401196177
18 0 0.01 376949.3349085263 7.790300347428962 0.012897743273508488 8.400204401196177
19 0 0.01 349423.377603403 7.62514101697319 0.014006520764346305 8.316383371210165
20 0 0.01 349423.377603403 7.62514101697319 0.014006520764346305 8.316383371210165
21 0 0.01 349423.377603403 7.62514101697319 0.014006520764346305 8.316383371210165
22 0 0.01 322036.75447962433 7.550798089149073 0.016507948612583676 8.356393371687819
23 0 0.01 298396.77627426013 7.5248200226883535 0.019762046368524164 8.446069145375793
24 0 0.01 282655.96843210433 7.379715532334796 0.02956440369824518 8.462456185338729
25 0 0.01 255073.596235761 7.4185937200434795 0.03426880341093846 8.628528157041162
26 0 0.01 255073.596235761 7.4185937200434795 0.03426880341093846 8.628528157041162
27 0 0.01 255073.596235761 7.4185937200434795 0.03426880341093846 8.628528157041162
28 0 0.01 255073.596235761 7.4185937200434795 0.03426880341093846 8.628528157041162
29 0 0.01 255073.596235761 7.4185937200434795 0.03426880341093846 8.628528157041162
30 0 0.01 233406.8983490988 7.362339701236007 0.019372010744075078 8.509177406644058
31 0 0.01 233406.8983490988 7.362339701236007 0.019372010744075078 8.509177406644058
32 0 0.01 217146.6952137967 7.358036395235149 0.0167283366134578 8.554877593773666
33 0 0.01 217146.6952137967 7.358036395235149 0.0167283366134578 8.554877593773666
34 0 0.01 198921.30497525493 7.317753702793855 0.014709743881985912 8.625635150092599
35 0 0.01 187902.41269074025 7.195970361125551 0.025983986839495172 8.721332400938394
36 0 0.01 176754.10206527723 7.173755924675251 0.020477210615562548 8.817487526657276
37 0 0.01 175699.45731186663 7.109624571648212 0.0335429819526224 8.81221621609591
38 0 0.01 175699.45731186663 7.109624571648212 0.0335429819526224 8.81221621609591
39 0 0.01 170303.39317445955 7.155418585957648 0.03631875400422678 8.94288818858864
40 0 0.01 165078.07569157996 7.11136322893798 0.03481200260482489 8.9927673375799
41 0 0.01 159042.3056579823 7.028964124948824 0.04141483181798524 9.043563816159548
42 0 0.01 157996.33604013937 6.963620357440091 0.04234972938867473 9.004391291271116
43 0 0.01 155094.89107760985 6.936391059916057 0.04226402221051489 9.072423366145266
44 0 0.01 155094.89107760985 6.936391059916057 0.04226402221051489 9.072423366145266
45 0 0.01 150570.3957866278 6.774081803140282 0.04086433558549213 9.187926744862182
46 0 0.01 150570.3957866278 6.774081803140282 0.04086433558549213 9.187926744862182
47 0 0.01 150570.3957866278 6.774081803140282 0.04086433558549213 9.187926744862182
48 0 0.01 150570.3957866278 6.774081803140282 0.04086433558549213 9.187926744862182
49 0 0.01 150570.3957866278 6.774081803140282 0.04086433558549213 9.187926744862182
50 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
51 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
52 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
53 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
54 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
55 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
56 0 0.01 149762.15658206644 6.706141762090452 0.044501179493394674 9.10105367142423
57 0 0.01 149768.6891152338 6.716191886227932 0.04804602238273756 9.049995625642339
58 0 0.01 149768.6891152338 6.716191886227932 0.04804602238273756 9.049995625642339
59 0 0.01 149768.6891152338 6.716191886227932 0.04804602238273756 9.049995625642339
60 0 0.01 149768.6891152338 6.716191886227932 0.04804602238273756 9.049995625642339
61 0 0.01 149768.6891152338 6.716191886227932 0.04804602238273756 9.049995625642339
62 0 0.01 149625.29671936604 6.840189874456236 0.047367411681551896 9.19299980623817
63 0 0.01 149625.29671936604 6.840189874456236 0.047367411681551896 9.19299980623817
64 0 0.01 149625.29671936604 6.840189874456236 0.047367411681551896 9.19299980623817
65 0 0.01 149625.29671936604 6.840189874456236 0.047367411681551896 9.19299980623817
