# step walker beta fx x1 x2 x3 weight ancestor
101 0 0.026366508987303583 inf 6.86170040561553 0.051917572422065725 9.270582400452534 1.0 0
102 0 0.026366508987303583 inf 6.739675005526904 0.051457083794494755 9.173358339674392 1.0 0
103 0 0.026366508987303583 148160.9932711573 6.720909106580701 0.049774674004035444 9.138695345737764 1.0 0
104 0 0.026366508987303583 150032.32713009493 6.7454797986942365 0.04384877769734594 9.132778550259179 1.0 0
105 0 0.026366508987303583 inf 6.831369020272064 0.052945864503969924 9.264663681214165 1.0 0
106 0 0.026366508987303583 151763.95290648408 6.817402184171937 0.04760244431322262 9.05073505977728 1.0 0
107 0 0.026366508987303583 inf 6.828149770695171 0.05357775904797992 9.259180314997817 1.0 0
108 0 0.026366508987303583 1326227759.2888253 6.565129580770335 0.04878951041695758 9.146730302714861 1.0 0
109 0 0.026366508987303583 inf 6.694572048418864 0.05630679990953169 8.977611244800388 1.0 0
110 0 0.026366508987303583 inf 6.618247037636335 0.05598253794939447 9.12301939252259 1.0 0
111 0 0.026366508987303583 inf 6.475999553157528 0.044604933916205174 9.298648708382554 1.0 0
112 0 0.026366508987303583 inf 6.76831618355917 0.05053130363890762 9.084478029171914 1.0 0
113 0 0.026366508987303583 inf 6.6733594848504785 0.0503066870628454 9.007872526524926 1.0 0
114 0 0.026366508987303583 inf 6.938227581972952 0.0525974800910025 9.11964726926303 1.0 0
115 0 0.026366508987303583 inf 6.629215667568313 0.04489560597211229 9.359925614664153 1.0 0
116 0 0.026366508987303583 inf 6.728302174842863 0.05886764681110941 8.980542245916968 1.0 0
117 0 0.026366508987303583 inf 6.643472765685621 0.05253935646939311 9.14930148469021 1.0 0
118 0 0.026366508987303583 inf 7.1136619106599746 0.048499046010724564 9.224109077262634 1.0 0
119 0 0.026366508987303583 inf 6.684428453363103 0.0504301826869346 9.068933956175394 1.0 0
120 0 0.026366508987303583 149645.08945780096 6.854474052812598 0.04901947971549712 9.18298913079701 1.0 0
121 0 0.026366508987303583 inf 6.715353926177566 0.05633393994249013 9.142821960276668 1.0 0
122 0 0.026366508987303583 inf 6.740155127883338 0.05366482079332271 9.248168226179477 1.0 0
123 0 0.026366508987303583 152706.63937280755 6.724908813198099 0.04295877629690667 8.958983704927142 1.0 0
124 0 0.026366508987303583 151159.7651607184 6.746124277132623 0.044252792280380863 9.048819828225147 1.0 0
125 0 0.026366508987303583 277765080.8594892 6.67416141551904 0.043001620224041165 9.054482235579576 1.0 0
126 0 0.026366508987303583 362300595.0110774 6.666316390934368 0.04961668066908466 9.162108134488646 1.0 0
127 0 0.026366508987303583 inf 6.909236336811819 0.05426977464895494 9.068325161179082 1.0 0
128 0 0.026366508987303583 inf 6.869614582928165 0.05491077985366375 9.10808664705607 1.0 0
129 0 0.026366508987303583 inf 6.764711472974985 0.05179218096665799 9.088144969185612 1.0 0
130 0 0.026366508987303583 inf 6.608573191082647 0.052409371636078124 9.13665846339579 1.0 0
131 0 0.026366508987303583 inf 6.84583751712058 0.05098223094973822 9.14856273697621 1.0 0
132 0 0.026366508987303583 inf 6.642194882872209 0.054245574042573894 9.149268308511191 1.0 0
133 0 0.026366508987303583 150611.33625297016 6.799311395834984 0.04849933258210757 9.080047617063707 1.0 0
134 0 0.026366508987303583 151944.9320936926 6.732813863354976 0.044463500305486896 8.988745000709068 1.0 0
135 0 0.026366508987303583 inf 6.735244129905258 0.055408319486409924 9.048360240692753 1.0 0
136 0 0.026366508987303583 inf 6.551964410792405 0.05251276541754258 9.174395116670693 1.0 0
137 0 0.026366508987303583 151503.23444498092 6.806931926317708 0.04418948253458389 9.090337620856285 1.0 0
138 0 0.026366508987303583 inf 6.867809125535782 0.05306637032169702 8.980748762196043 1.0 0
139 0 0.026366508987303583 150114.55784706195 6.766679704215264 0.048858333545308136 9.070146956117785 1.0 0
140 0 0.026366508987303583 inf 6.7315522380542925 0.053122440238908525 9.077160271942237 1.0 0
141 0 0.026366508987303583 inf 6.854891859147925 0.057911712723216116 9.127012148251469 1.0 0
142 0 0.026366508987303583 inf 6.60615880183179 0.05054083679884164 9.050317341224508 1.0 0
143 0 0.026366508987303583 151836.40201883984 6.876408352287328 0.04113273055148928 9.185943803507273 1.0 0
144 0 0.026366508987303583 inf 6.751069721115237 0.050193689334262874 8.951461456069014 1.0 0
145 0 0.026366508987303583 inf 6.624630004927762 0.05017500814980666 9.15156798995392 1.0 0
146 0 0.026366508987303583 inf 6.672997072549256 0.0465732714842204 9.213292725800436 1.0 0
147 0 0.026366508987303583 inf 6.658654400288133 0.05445612058069283 9.213697183412346 1.0 0
148 0 0.026366508987303583 inf 6.715237603762837 0.06127804656758548 9.195645092438463 1.0 0
149 0 0.026366508987303583 inf 6.869850074698987 0.05609592541910912 9.062511624402465 1.0 0
150 0 0.026366508987303583 inf 6.68774741676126 0.04101809685442576 9.201584756815079 1.0 0
