# step walker beta fx x1 x2 x3 weight ancestor
951 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
952 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
953 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
954 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
955 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
956 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
957 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
958 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
959 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
960 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
961 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
962 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
963 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
964 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
965 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
966 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
967 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
968 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
969 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
970 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
971 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
972 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
973 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
974 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
975 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
976 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
977 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
978 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
979 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
980 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
981 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
982 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
983 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
984 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
985 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
986 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
987 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
988 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
989 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
990 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
991 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
992 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
993 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
994 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
995 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
996 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
997 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
998 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
999 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
1000 0 100.0 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
