# step walker beta fx x1 x2 x3 weight ancestor
501 0 1.2742749857031335 inf 6.756063872865757 0.05663243086170681 9.084508170478792 1.0 0
502 0 1.2742749857031335 1274208453.5890045 6.5712356719491245 0.04859696975611019 9.149744699122511 1.0 0
503 0 1.2742749857031335 inf 6.856708936464246 0.06130473867965243 9.10045979646413 1.0 0
504 0 1.2742749857031335 167748149.93812314 6.6841628863254945 0.04637135290629132 9.168676911431147 1.0 0
505 0 1.2742749857031335 inf 6.82273546364429 0.05089804234756793 9.061822719009466 1.0 0
506 0 1.2742749857031335 inf 6.675157384253287 0.05079972757660019 9.15025358805044 1.0 0
507 0 1.2742749857031335 inf 6.9395538107215495 0.05716384501087933 9.207332647148188 1.0 0
508 0 1.2742749857031335 inf 6.6293326081981885 0.05073924249453698 9.154887973928176 1.0 0
509 0 1.2742749857031335 725539444.4952253 6.630896335968651 0.04994969982097397 9.069902454989723 1.0 0
510 0 1.2742749857031335 inf 6.70163550059942 0.05108573313175833 9.14109906778751 1.0 0
511 0 1.2742749857031335 inf 6.645421280244159 0.037864506707849396 9.356787578663514 1.0 0
512 0 1.2742749857031335 inf 6.63012331346518 0.052209057975757575 9.2535806662762 1.0 0
513 0 1.2742749857031335 inf 6.59020309554757 0.049552547382285275 9.24583223321894 1.0 0
514 0 1.2742749857031335 inf 6.865107005566848 0.053857739207426175 8.991208116867618 1.0 0
515 0 1.2742749857031335 inf 6.629869012370538 0.04724121627824677 9.41404158256932 1.0 0
516 0 1.2742749857031335 inf 6.602942876691686 0.06048594893504089 9.240279947430047 1.0 0
517 0 1.2742749857031335 inf 6.7008400718257395 0.0465496764934453 9.368343957034883 1.0 0
518 0 1.2742749857031335 inf 6.6756221105617914 0.05248884470473729 9.176478100122692 1.0 0
519 0 1.2742749857031335 inf 6.61274367503021 0.040761813194072086 9.213916024716626 1.0 0
520 0 1.2742749857031335 297981967.94281757 6.672298230037331 0.04338790014133889 9.003524451858867 1.0 0
521 0 1.2742749857031335 inf 6.879101399326185 0.049583864261033034 9.380287476743254 1.0 0
522 0 1.2742749857031335 inf 6.897095939491128 0.04755183608862816 9.200918502126454 1.0 0
523 0 1.2742749857031335 inf 6.805621859545145 0.046596723888818324 9.278226932913118 1.0 0
524 0 1.2742749857031335 inf 6.6974628819035615 0.05261229269620303 9.15712421875605 1.0 0
525 0 1.2742749857031335 inf 6.719564832263774 0.051541240990433584 9.099094729932192 1.0 0
526 0 1.2742749857031335 inf 6.766611183318109 0.048801135549440496 9.279543470402706 1.0 0
527 0 1.2742749857031335 inf 6.647684161485574 0.05262115182620776 9.071873603741324 1.0 0
528 0 1.2742749857031335 inf 6.65743857114275 0.050367471031690855 9.125057131256375 1.0 0
529 0 1.2742749857031335 inf 6.524356735142431 0.0444378557325546 9.354977681851953 1.0 0
530 0 1.2742749857031335 149916.77930357598 6.777258551458171 0.04557934875188956 9.139756895050942 1.0 0
531 0 1.2742749857031335 327561723.4349485 6.669557431161752 0.04405444381075056 9.135419500371993 1.0 0
532 0 1.2742749857031335 inf 6.733002592288263 0.05249880312119766 9.314798367806805 1.0 0
533 0 1.2742749857031335 inf 6.663760467630501 0.0484861251690142 9.25961005719646 1.0 0
534 0 1.2742749857031335 inf 6.694181078303463 0.04621632393721097 9.273079465257728 1.0 0
535 0 1.2742749857031335 inf 6.549521225044473 0.05412750974695955 9.256015926019826 1.0 0
536 0 1.2742749857031335 inf 6.810415707814079 0.05754865402162705 9.354708234486155 1.0 0
537 0 1.2742749857031335 956511036.4059662 6.6067721728754565 0.04509882936883067 9.147288687686068 1.0 0
538 0 1.2742749857031335 150305.747569894 6.812337992596341 0.04363122825917948 9.182997318161876 1.0 0
539 0 1.2742749857031335 inf 6.467609067942395 0.042883034279749044 9.333329078527877 1.0 0
540 0 1.2742749857031335 inf 6.592092311380679 0.045039266386537345 9.24639700230695 1.0 0
541 0 1.2742749857031335 inf 6.66799011468874 0.05012769249450388 9.211822118352696 1.0 0
542 0 1.2742749857031335 inf 6.876286228713764 0.055804014675882134 9.358356657226972 1.0 0
543 0 1.2742749857031335 inf 6.686348125532918 0.05653979197672653 9.30628928110916 1.0 0
544 0 1.2742749857031335 inf 6.482698288629939 0.048102496223333215 9.279700216097323 1.0 0
545 0 1.2742749857031335 inf 6.6422776484795705 0.044866579942011625 9.281522734372807 1.0 0
546 0 1.2742749857031335 149419.59531698708 6.70764815901551 0.04802937094144737 9.06398941597847 1.0 0
547 0 1.2742749857031335 inf 6.673311728450742 0.058247838646884015 9.174099398403705 1.0 0
548 0 1.2742749857031335 inf 6.67985321364501 0.0512152565657984 9.27428278460969 1.0 0
549 0 1.2742749857031335 inf 6.680812896631115 0.04690993535813603 9.219437343650183 1.0 0
550 0 1.2742749857031335 inf 6.729603666502891 0.043827999484646135 9.23418254497273 1.0 0
