# Tindex beta walker idnum fx log_weight x1 x2 x3
0 0.01 0 0 149762.15658206644 0.0 6.706141762090452 0.044501179493394674 9.10105367142423
1 0.016237767391887217 0 0 149267.86678236592 0.0 6.774861064289485 0.04658870431378989 9.166393823682688
2 0.026366508987303583 0 0 148160.9932711573 0.0 6.720909106580701 0.049774674004035444 9.138695345737764
3 0.04281332398719394 0 0 148160.9932711573 0.0 6.720909106580701 0.049774674004035444 9.138695345737764
4 0.06951927961775606 0 0 148160.9932711573 0.0 6.720909106580701 0.049774674004035444 9.138695345737764
5 0.11288378916846889 0 0 148160.9932711573 0.0 6.720909106580701 0.049774674004035444 9.138695345737764
6 0.18329807108324356 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
7 0.29763514416313175 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
8 0.4832930238571752 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
9 0.7847599703514611 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
10 1.2742749857031335 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
11 2.06913808111479 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
12 3.359818286283781 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
13 5.455594781168514 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
14 8.858667904100823 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
15 14.38449888287663 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
16 23.357214690901213 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
17 37.92690190732246 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
18 61.584821106602604 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
19 100.0 0 0 147472.9869202419 0.0 6.710784761273894 0.04941963648374812 9.19556056203054
