# step walker beta fx x1 x2 x3 weight ancestor
701 0 8.858667904100823 inf 6.640325572084369 0.05844081324107689 9.479518904119947 1.0 0
702 0 8.858667904100823 inf 6.461869318103123 0.045731324022187346 9.339433457187054 1.0 0
703 0 8.858667904100823 inf 6.5640025140127545 0.0542962740970123 9.232958692832609 1.0 0
704 0 8.858667904100823 inf 6.621252053541139 0.04392826683276824 9.236978550958638 1.0 0
705 0 8.858667904100823 inf 6.594932127361581 0.045167463095338624 9.354290535324719 1.0 0
706 0 8.858667904100823 inf 6.6756964247870245 0.05707605369086155 9.180410295424148 1.0 0
707 0 8.858667904100823 inf 6.69832418518414 0.04466208851930565 9.346760881569784 1.0 0
708 0 8.858667904100823 inf 6.7333611989882645 0.05034411944383499 9.266785684313195 1.0 0
709 0 8.858667904100823 inf 6.531100837744406 0.05489357155012158 9.088552276698877 1.0 0
710 0 8.858667904100823 inf 6.689053840151215 0.04923666483271508 9.327135869596141 1.0 0
711 0 8.858667904100823 inf 6.682045945264236 0.0463417331842903 9.231540824274477 1.0 0
712 0 8.858667904100823 148534.1930263866 6.744391666935463 0.04659133702392504 9.197182337326547 1.0 0
713 0 8.858667904100823 inf 6.660092127103172 0.05556293149580069 9.08759557172165 1.0 0
714 0 8.858667904100823 1365867684.30033 6.560418255442367 0.04858283756900428 9.177171674448845 1.0 0
715 0 8.858667904100823 inf 6.677266668511085 0.0446495034761992 9.2845882116888 1.0 0
716 0 8.858667904100823 inf 6.758304407041329 0.05379483734312875 9.260651686359205 1.0 0
717 0 8.858667904100823 150658.51231048585 6.853338067633047 0.04658655240606855 9.15361394794889 1.0 0
718 0 8.858667904100823 147939.6104023175 6.730510190361934 0.049977135503692954 9.162106507421266 1.0 0
719 0 8.858667904100823 inf 6.6866226544477145 0.04777887969282672 9.29143247164768 1.0 0
720 0 8.858667904100823 inf 6.626889803277749 0.0551736705553712 9.229066894370936 1.0 0
721 0 8.858667904100823 inf 6.566778498657114 0.05445533535194752 9.18075782173021 1.0 0
722 0 8.858667904100823 inf 6.626688659334792 0.047066552211522214 9.382087016977088 1.0 0
723 0 8.858667904100823 inf 6.660948280742316 0.045789209790940075 9.248182931994641 1.0 0
724 0 8.858667904100823 148572.56933430088 6.777742176932995 0.049947523045825684 9.162334334809136 1.0 0
725 0 8.858667904100823 inf 6.617368315370182 0.053727793965908974 9.281764963262447 1.0 0
726 0 8.858667904100823 1027441561.8476223 6.599086498486191 0.04598986890087576 9.099673950835328 1.0 0
727 0 8.858667904100823 1438078405.8993027 6.55170238399119 0.044721576373121595 9.14801788770159 1.0 0
728 0 8.858667904100823 inf 6.508323235199164 0.050795354141801044 9.313483299396248 1.0 0
729 0 8.858667904100823 inf 6.392347104169955 0.0562690936365394 9.088077308669181 1.0 0
730 0 8.858667904100823 150100.32979096472 6.701791108997204 0.0405832675164364 9.17301014114905 1.0 0
731 0 8.858667904100823 inf 6.624084733273492 0.050723197596634705 9.115678900602363 1.0 0
732 0 8.858667904100823 inf 6.662670879490998 0.051100385275770835 9.173480282905476 1.0 0
733 0 8.858667904100823 inf 6.681334802397852 0.05074477790846557 9.11206617221739 1.0 0
734 0 8.858667904100823 inf 6.677219041726344 0.05549697114048577 9.250410186790377 1.0 0
735 0 8.858667904100823 inf 6.781272232792785 0.049002060419844395 9.268251434818971 1.0 0
736 0 8.858667904100823 inf 6.895285787232241 0.04917518194856867 9.401208238966815 1.0 0
737 0 8.858667904100823 inf 6.553931726707308 0.055147038953195004 9.088194646582616 1.0 0
738 0 8.858667904100823 inf 6.8959201879792795 0.06468269370028326 9.251306875864431 1.0 0
739 0 8.858667904100823 inf 6.790019832039881 0.053963966047892095 9.15291635644559 1.0 0
740 0 8.858667904100823 inf 6.548789704015926 0.05667611485154991 8.928518523106334 1.0 0
741 0 8.858667904100823 inf 6.729300122195493 0.04437504570125404 9.288593260295405 1.0 0
742 0 8.858667904100823 149968.85529702622 6.703691377026491 0.04393081265808909 9.094283210409403 1.0 0
743 0 8.858667904100823 inf 6.862020599790701 0.059604543651670346 9.221493128028113 1.0 0
744 0 8.858667904100823 inf 6.7734089985941095 0.057067170293027845 9.18023518191371 1.0 0
745 0 8.858667904100823 inf 6.701861006825655 0.04627646064765287 9.411656039694687 1.0 0
746 0 8.858667904100823 inf 6.7905306295123955 0.0529951503516204 9.346614297747234 1.0 0
747 0 8.858667904100823 inf 6.764176158112535 0.05488816922615033 9.141695544462916 1.0 0
748 0 8.858667904100823 150421.87533364567 6.769022741825825 0.04103081212864881 9.192083448889965 1.0 0
749 0 8.858667904100823 150877.77930651465 6.822360951849443 0.04536159084259588 9.126164093374786 1.0 0
750 0 8.858667904100823 inf 6.930894283928124 0.04612920584791414 9.243235666699919 1.0 0
