# step walker beta fx x1 x2 x3 weight ancestor
851 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
852 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
853 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
854 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
855 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
856 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
857 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
858 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
859 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
860 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
861 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
862 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
863 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
864 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
865 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
866 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
867 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
868 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
869 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
870 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
871 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
872 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
873 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
874 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
875 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
876 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
877 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
878 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
879 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
880 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
881 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
882 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
883 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
884 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
885 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
886 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
887 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
888 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
889 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
890 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
891 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
892 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
893 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
894 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
895 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
896 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
897 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
898 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
899 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
900 0 37.92690190732246 147472.9869202419 6.710784761273894 0.04941963648374812 9.19556056203054 1.0 0
